nohup: ignoring input
EJECUTANDO: procesamiento_datos.py
EJECUCION TERMINADA: procesamiento_datos.py
EJECUTANDO: split.py
EJECUCION TERMINADA: split.py
epoca: 1.1, loss: 1411.42578125, tiempo: 17.33286714553833
epoca: 1.2, loss: 466.18255615234375, tiempo: 34.986737966537476
epoca: 1.3, loss: 594.59716796875, tiempo: 53.63233137130737
epoca: 1.4, loss: 665.431884765625, tiempo: 71.44982481002808
epoca: 1.5, loss: 737.9979248046875, tiempo: 90.27409338951111
epoca: 1.6, loss: 619.7583618164062, tiempo: 108.48473262786865
epoca: 1.7, loss: 512.225341796875, tiempo: 126.63091039657593
epoca: 1.8, loss: 467.0467529296875, tiempo: 144.75537014007568
epoca: 1.9, loss: 457.20709228515625, tiempo: 163.6104612350464
epoca: 1.10, loss: 487.8204345703125, tiempo: 182.1195456981659
epoca: 1.11, loss: 460.22235107421875, tiempo: 200.22415447235107
epoca: 1.12, loss: 443.9837646484375, tiempo: 217.88017058372498
epoca: 1.13, loss: 518.916259765625, tiempo: 235.84767889976501
epoca: 1.14, loss: 402.7572326660156, tiempo: 254.65476059913635
epoca: 1.15, loss: 430.1554870605469, tiempo: 272.8480427265167
epoca: 1.16, loss: 345.33233642578125, tiempo: 290.78278636932373
epoca: 1.17, loss: 289.9783630371094, tiempo: 308.52621054649353
epoca: 1.18, loss: 519.1048583984375, tiempo: 326.43090438842773
epoca: 1.19, loss: 255.7437744140625, tiempo: 344.3454532623291
epoca: 1.20, loss: 334.71759033203125, tiempo: 362.98410987854004
epoca: 1.21, loss: 343.7172546386719, tiempo: 380.77739357948303
epoca: 1.22, loss: 295.89996337890625, tiempo: 398.51595664024353
epoca: 1.23, loss: 353.59228515625, tiempo: 416.4086401462555
epoca: 1.24, loss: 291.7701721191406, tiempo: 434.3345446586609
epoca: 1.25, loss: 280.3270263671875, tiempo: 452.26445960998535
epoca: 1.26, loss: 309.3435974121094, tiempo: 470.97179436683655
epoca: 1.27, loss: 250.77322387695312, tiempo: 488.7773485183716
epoca: 1.28, loss: 219.760009765625, tiempo: 506.60951137542725
epoca: 1.29, loss: 206.47500610351562, tiempo: 524.5962677001953
epoca: 1.30, loss: 197.89617919921875, tiempo: 542.5258040428162
epoca: 1.31, loss: 228.66262817382812, tiempo: 560.7493028640747
epoca: 1.32, loss: 213.16952514648438, tiempo: 579.609851360321
epoca: 1.33, loss: 213.376953125, tiempo: 598.0359108448029
epoca: 1.34, loss: 189.4300537109375, tiempo: 615.6694068908691
epoca: 2.1, loss: 148.7532958984375, tiempo: 633.5593111515045
epoca: 2.2, loss: 155.47132873535156, tiempo: 650.9186632633209
epoca: 2.3, loss: 163.62518310546875, tiempo: 669.9425718784332
epoca: 2.4, loss: 116.99500274658203, tiempo: 687.5373044013977
epoca: 2.5, loss: 92.81733703613281, tiempo: 704.1751275062561
epoca: 2.6, loss: 135.7459259033203, tiempo: 720.8619291782379
epoca: 2.7, loss: 136.58071899414062, tiempo: 737.831640958786
epoca: 2.8, loss: 101.1158447265625, tiempo: 754.8630945682526
epoca: 2.9, loss: 155.56195068359375, tiempo: 772.7963604927063
epoca: 2.10, loss: 129.23138427734375, tiempo: 789.9884886741638
epoca: 2.11, loss: 101.2879638671875, tiempo: 807.2977287769318
epoca: 2.12, loss: 143.20579528808594, tiempo: 824.6379783153534
epoca: 2.13, loss: 94.44464111328125, tiempo: 841.8828451633453
epoca: 2.14, loss: 209.82513427734375, tiempo: 858.7146532535553
epoca: 2.15, loss: 81.62386322021484, tiempo: 877.2318978309631
epoca: 2.16, loss: 132.62509155273438, tiempo: 895.1828789710999
epoca: 2.17, loss: 108.31655883789062, tiempo: 912.9752416610718
epoca: 2.18, loss: 123.95038604736328, tiempo: 930.9748983383179
epoca: 2.19, loss: 84.50364685058594, tiempo: 948.9947941303253
epoca: 2.20, loss: 83.77544403076172, tiempo: 967.7457985877991
epoca: 2.21, loss: 104.43316650390625, tiempo: 985.1582274436951
epoca: 2.22, loss: 98.76913452148438, tiempo: 1003.0963020324707
epoca: 2.23, loss: 97.6566390991211, tiempo: 1021.0589287281036
epoca: 2.24, loss: 127.44755554199219, tiempo: 1039.0150487422943
epoca: 2.25, loss: 72.3459243774414, tiempo: 1056.986648797989
epoca: 2.26, loss: 101.41950225830078, tiempo: 1075.5080921649933
epoca: 2.27, loss: 87.26490783691406, tiempo: 1093.4821343421936
epoca: 2.28, loss: 114.35426330566406, tiempo: 1111.4423122406006
epoca: 2.29, loss: 112.80549621582031, tiempo: 1129.3998880386353
epoca: 2.30, loss: 145.6354217529297, tiempo: 1147.3589267730713
epoca: 2.31, loss: 87.17835998535156, tiempo: 1165.3577675819397
epoca: 2.32, loss: 93.43008422851562, tiempo: 1184.0790832042694
epoca: 2.33, loss: 93.4658203125, tiempo: 1202.2368881702423
epoca: 2.34, loss: 72.95722961425781, tiempo: 1220.7164368629456
epoca: 3.1, loss: 116.06434631347656, tiempo: 1239.3637132644653
epoca: 3.2, loss: 73.69933319091797, tiempo: 1256.366732120514
epoca: 3.3, loss: 100.12622833251953, tiempo: 1273.5552442073822
epoca: 3.4, loss: 88.69043731689453, tiempo: 1291.7394120693207
epoca: 3.5, loss: 121.26197052001953, tiempo: 1308.7771615982056
epoca: 3.6, loss: 71.2061767578125, tiempo: 1326.8008089065552
epoca: 3.7, loss: 80.945068359375, tiempo: 1345.3623671531677
epoca: 3.8, loss: 92.16201782226562, tiempo: 1363.422482252121
epoca: 3.9, loss: 89.70706176757812, tiempo: 1382.2152528762817
epoca: 3.10, loss: 119.17477416992188, tiempo: 1400.215009212494
epoca: 3.11, loss: 66.91484069824219, tiempo: 1418.1080105304718
epoca: 3.12, loss: 80.24208068847656, tiempo: 1436.079551935196
epoca: 3.13, loss: 119.28689575195312, tiempo: 1453.8103699684143
epoca: 3.14, loss: 57.912872314453125, tiempo: 1471.7347071170807
epoca: 3.15, loss: 47.79301452636719, tiempo: 1490.2350132465363
epoca: 3.16, loss: 76.09994506835938, tiempo: 1507.968905210495
epoca: 3.17, loss: 81.35470581054688, tiempo: 1525.7154450416565
epoca: 3.18, loss: 61.81562805175781, tiempo: 1543.5465598106384
epoca: 3.19, loss: 56.76885223388672, tiempo: 1561.366578578949
epoca: 3.20, loss: 65.30615997314453, tiempo: 1579.0982270240784
epoca: 3.21, loss: 39.467201232910156, tiempo: 1597.6017055511475
epoca: 3.22, loss: 62.9484748840332, tiempo: 1615.3509047031403
epoca: 3.23, loss: 66.567626953125, tiempo: 1632.8352060317993
epoca: 3.24, loss: 66.1346435546875, tiempo: 1650.5823941230774
epoca: 3.25, loss: 56.64822006225586, tiempo: 1668.3243033885956
epoca: 3.26, loss: 45.23822021484375, tiempo: 1686.901275396347
epoca: 3.27, loss: 65.45726013183594, tiempo: 1704.6271686553955
epoca: 3.28, loss: 57.39527130126953, tiempo: 1722.3313183784485
epoca: 3.29, loss: 60.440494537353516, tiempo: 1740.0062763690948
epoca: 3.30, loss: 67.21824645996094, tiempo: 1757.6972088813782
epoca: 3.31, loss: 36.86622619628906, tiempo: 1775.370266199112
epoca: 3.32, loss: 24.789962768554688, tiempo: 1793.7428500652313
epoca: 3.33, loss: 40.45035171508789, tiempo: 1811.3785002231598
epoca: 3.34, loss: 29.743751525878906, tiempo: 1829.0164234638214
epoca: 4.1, loss: 58.40284729003906, tiempo: 1847.14280295372
epoca: 4.2, loss: 43.14102554321289, tiempo: 1865.0782942771912
epoca: 4.3, loss: 37.19746780395508, tiempo: 1883.0223541259766
epoca: 4.4, loss: 31.37565040588379, tiempo: 1901.8858575820923
epoca: 4.5, loss: 37.83004379272461, tiempo: 1919.782722234726
epoca: 4.6, loss: 24.55429458618164, tiempo: 1937.5812389850616
epoca: 4.7, loss: 40.53413391113281, tiempo: 1955.4061439037323
epoca: 4.8, loss: 29.79436492919922, tiempo: 1973.1945624351501
epoca: 4.9, loss: 36.565216064453125, tiempo: 1991.2630560398102
epoca: 4.10, loss: 31.42324447631836, tiempo: 2010.5448637008667
epoca: 4.11, loss: 26.530864715576172, tiempo: 2028.5310277938843
epoca: 4.12, loss: 34.70071029663086, tiempo: 2046.7005398273468
epoca: 4.13, loss: 25.799407958984375, tiempo: 2064.4867780208588
epoca: 4.14, loss: 25.570730209350586, tiempo: 2082.3824920654297
epoca: 4.15, loss: 29.509597778320312, tiempo: 2101.17803812027
epoca: 4.16, loss: 29.571727752685547, tiempo: 2119.0605800151825
epoca: 4.17, loss: 19.713394165039062, tiempo: 2136.958403110504
epoca: 4.18, loss: 22.878719329833984, tiempo: 2154.688911676407
epoca: 4.19, loss: 15.896495819091797, tiempo: 2172.592922925949
epoca: 4.20, loss: 24.537639617919922, tiempo: 2190.3704874515533
epoca: 4.21, loss: 19.228965759277344, tiempo: 2209.053729057312
epoca: 4.22, loss: 32.0509033203125, tiempo: 2226.8842227458954
epoca: 4.23, loss: 33.98234558105469, tiempo: 2244.729986190796
epoca: 4.24, loss: 22.124345779418945, tiempo: 2262.590302467346
epoca: 4.25, loss: 30.020849227905273, tiempo: 2280.6810014247894
epoca: 4.26, loss: 23.158645629882812, tiempo: 2298.5246415138245
epoca: 4.27, loss: 20.230998992919922, tiempo: 2316.979165315628
epoca: 4.28, loss: 26.58290672302246, tiempo: 2334.879762172699
epoca: 4.29, loss: 26.202625274658203, tiempo: 2352.8352155685425
epoca: 4.30, loss: 22.279123306274414, tiempo: 2371.4549927711487
epoca: 4.31, loss: 32.86223602294922, tiempo: 2389.485761642456
epoca: 4.32, loss: 28.37145233154297, tiempo: 2408.8226339817047
epoca: 4.33, loss: 20.582721710205078, tiempo: 2426.695431947708
epoca: 4.34, loss: 21.214570999145508, tiempo: 2444.715719938278
epoca: 5.1, loss: 17.878341674804688, tiempo: 2462.463917016983
epoca: 5.2, loss: 15.104713439941406, tiempo: 2479.6564512252808
epoca: 5.3, loss: 17.419734954833984, tiempo: 2496.9258716106415
