nohup: ignoring input
epoca: 1.1, loss: 2.8401825428009033, tiempo: 17.310515642166138
epoca: 1.2, loss: 4.906198024749756, tiempo: 34.164344787597656
epoca: 1.3, loss: 2.2924752235412598, tiempo: 52.57645106315613
epoca: 1.4, loss: 1.8030526638031006, tiempo: 71.22076845169067
epoca: 1.5, loss: 4.961353302001953, tiempo: 90.93360567092896
epoca: 1.6, loss: 2.5316386222839355, tiempo: 109.73121643066406
epoca: 1.7, loss: 2.9076714515686035, tiempo: 128.26223993301392
epoca: 1.8, loss: 2.3009400367736816, tiempo: 146.32165908813477
epoca: 1.9, loss: 3.0946249961853027, tiempo: 164.7525794506073
epoca: 1.10, loss: 2.3384041786193848, tiempo: 182.9686896800995
epoca: 1.11, loss: 3.4978690147399902, tiempo: 201.15082502365112
epoca: 1.12, loss: 4.03422212600708, tiempo: 219.33699011802673
epoca: 1.13, loss: 3.2374141216278076, tiempo: 237.5363519191742
epoca: 1.14, loss: 5.609515190124512, tiempo: 255.8312530517578
epoca: 1.15, loss: 3.390054702758789, tiempo: 274.06070017814636
epoca: 1.16, loss: 2.8560519218444824, tiempo: 292.5241210460663
epoca: 1.17, loss: 1.3633803129196167, tiempo: 310.9732675552368
epoca: 1.18, loss: 2.2747039794921875, tiempo: 328.72838306427
epoca: 1.19, loss: 2.6163296699523926, tiempo: 347.2139959335327
epoca: 1.20, loss: 2.2261948585510254, tiempo: 365.52759552001953
epoca: 1.21, loss: 3.6420254707336426, tiempo: 383.9852433204651
epoca: 1.22, loss: 4.126806259155273, tiempo: 401.3150293827057
epoca: 1.23, loss: 2.2774620056152344, tiempo: 419.80823159217834
epoca: 1.24, loss: 2.4463343620300293, tiempo: 438.3045516014099
epoca: 1.25, loss: 4.910915851593018, tiempo: 456.80160784721375
epoca: 1.26, loss: 1.7418352365493774, tiempo: 475.33257722854614
epoca: 1.27, loss: 3.083189010620117, tiempo: 493.9203314781189
epoca: 1.28, loss: 1.7192203998565674, tiempo: 512.6066181659698
epoca: 1.29, loss: 6.921131134033203, tiempo: 531.379595041275
epoca: 1.30, loss: 2.046424627304077, tiempo: 549.8913993835449
epoca: 1.31, loss: 2.875936985015869, tiempo: 568.6199147701263
epoca: 1.32, loss: 3.679840087890625, tiempo: 587.9646484851837
epoca: 1.33, loss: 3.5122933387756348, tiempo: 606.1242730617523
epoca: 1.34, loss: 3.7542741298675537, tiempo: 624.6671049594879
epoca: 2.1, loss: 2.374573230743408, tiempo: 643.918758392334
epoca: 2.2, loss: 1.8924628496170044, tiempo: 662.4141874313354
epoca: 2.3, loss: 5.347777843475342, tiempo: 680.6205244064331
epoca: 2.4, loss: 2.839573383331299, tiempo: 698.8530480861664
epoca: 2.5, loss: 4.003273010253906, tiempo: 717.2825286388397
epoca: 2.6, loss: 2.1756324768066406, tiempo: 735.8826591968536
epoca: 2.7, loss: 3.7361791133880615, tiempo: 754.476010799408
