nohup: ignoring input
epoca: 1.1, loss: 684.8099365234375, tiempo: 17.54341721534729
epoca: 1.2, loss: 672.314453125, tiempo: 35.56837272644043
epoca: 1.3, loss: 538.3712158203125, tiempo: 53.14815163612366
epoca: 1.4, loss: 510.704345703125, tiempo: 71.84822535514832
epoca: 1.5, loss: 629.18310546875, tiempo: 90.57321000099182
epoca: 1.6, loss: 720.4407958984375, tiempo: 109.37809705734253
epoca: 1.7, loss: 720.9046630859375, tiempo: 128.10329914093018
epoca: 1.8, loss: 718.0111694335938, tiempo: 146.78437566757202
epoca: 1.9, loss: 609.1383666992188, tiempo: 165.50990080833435
epoca: 1.10, loss: 621.29443359375, tiempo: 184.16648483276367
epoca: 1.11, loss: 727.4837036132812, tiempo: 202.98366522789001
epoca: 1.12, loss: 580.4921875, tiempo: 221.34905171394348
epoca: 1.13, loss: 642.3658447265625, tiempo: 239.7015025615692
epoca: 1.14, loss: 609.9915771484375, tiempo: 258.08401703834534
epoca: 1.15, loss: 589.29541015625, tiempo: 276.41250801086426
epoca: 1.16, loss: 758.8302001953125, tiempo: 294.7915110588074
epoca: 1.17, loss: 687.064453125, tiempo: 313.1439094543457
epoca: 1.18, loss: 503.3155517578125, tiempo: 331.518705368042
epoca: 1.19, loss: 428.74908447265625, tiempo: 349.87624526023865
epoca: 1.20, loss: 650.6376953125, tiempo: 368.25258445739746
epoca: 1.21, loss: 592.3648681640625, tiempo: 386.61399507522583
epoca: 1.22, loss: 769.3135375976562, tiempo: 404.9499292373657
epoca: 1.23, loss: 615.1541137695312, tiempo: 423.3206124305725
epoca: 1.24, loss: 395.5967712402344, tiempo: 441.63001680374146
epoca: 1.25, loss: 687.82958984375, tiempo: 460.02226877212524
epoca: 1.26, loss: 570.8496704101562, tiempo: 478.35459995269775
epoca: 1.27, loss: 636.9937744140625, tiempo: 496.6783163547516
epoca: 1.28, loss: 399.70257568359375, tiempo: 515.0583326816559
epoca: 1.29, loss: 626.2384033203125, tiempo: 533.3242835998535
epoca: 1.30, loss: 584.608154296875, tiempo: 551.7303581237793
epoca: 1.31, loss: 518.962158203125, tiempo: 568.9520626068115
Epoca 1 - error: 612.9358648484753
epoca: 2.1, loss: 622.1236572265625, tiempo: 588.268636226654
epoca: 2.2, loss: 497.8893737792969, tiempo: 606.9474318027496
epoca: 2.3, loss: 532.85205078125, tiempo: 625.4299893379211
epoca: 2.4, loss: 539.5223999023438, tiempo: 643.9447836875916
epoca: 2.5, loss: 477.33380126953125, tiempo: 662.391473531723
epoca: 2.6, loss: 661.0189208984375, tiempo: 680.3829164505005
epoca: 2.7, loss: 483.9947509765625, tiempo: 698.7661848068237
epoca: 2.8, loss: 639.1129760742188, tiempo: 717.0812110900879
epoca: 2.9, loss: 715.1422119140625, tiempo: 734.9802091121674
epoca: 2.10, loss: 604.69677734375, tiempo: 753.3466105461121
epoca: 2.11, loss: 523.0116577148438, tiempo: 771.5910606384277
epoca: 2.12, loss: 562.6847534179688, tiempo: 789.2974419593811
epoca: 2.13, loss: 602.2760620117188, tiempo: 806.9595937728882
epoca: 2.14, loss: 528.6085205078125, tiempo: 824.6285345554352
epoca: 2.15, loss: 414.49920654296875, tiempo: 842.4216117858887
epoca: 2.16, loss: 540.4517822265625, tiempo: 860.8516914844513
epoca: 2.17, loss: 584.74853515625, tiempo: 879.0384476184845
epoca: 2.18, loss: 386.50653076171875, tiempo: 897.1501355171204
epoca: 2.19, loss: 428.51220703125, tiempo: 915.2699332237244
epoca: 2.20, loss: 389.69757080078125, tiempo: 933.5802557468414
epoca: 2.21, loss: 553.669189453125, tiempo: 951.9248337745667
epoca: 2.22, loss: 475.54327392578125, tiempo: 970.2971136569977
epoca: 2.23, loss: 607.554443359375, tiempo: 988.6520993709564
epoca: 2.24, loss: 619.2279052734375, tiempo: 1006.7201571464539
epoca: 2.25, loss: 344.55963134765625, tiempo: 1025.0830788612366
epoca: 2.26, loss: 392.0863952636719, tiempo: 1043.7548832893372
epoca: 2.27, loss: 377.97119140625, tiempo: 1062.1476695537567
epoca: 2.28, loss: 456.2677001953125, tiempo: 1080.5785114765167
epoca: 2.29, loss: 504.76318359375, tiempo: 1098.9987936019897
epoca: 2.30, loss: 495.89422607421875, tiempo: 1117.2887439727783
epoca: 2.31, loss: 623.9871826171875, tiempo: 1134.6813433170319
Epoca 2 - error: 522.1357441563761
epoca: 3.1, loss: 506.5537109375, tiempo: 1153.6250565052032
epoca: 3.2, loss: 542.1029052734375, tiempo: 1171.19890999794
epoca: 3.3, loss: 425.8466796875, tiempo: 1189.620918750763
epoca: 3.4, loss: 443.947998046875, tiempo: 1208.0084247589111
